workload,n,variant,structure
W1,1000,0.000000,full-copy
W1,10000,0.000000,full-copy
W1,10000,0.000000,point-only
W1,100000,0.000000,full-copy
W1,100000,0.000000,point-only
W1,1000000,0.000000,full-copy
W1,1000000,0.000000,point-only
W1,10000000,0.000000,checkpointing
W1,10000000,0.000000,full-copy
W1,10000000,0.000000,point-only
W10,10000,0.010000,full-copy
W10,10000,0.010000,point-only
W10,10000,0.050000,full-copy
W10,10000,0.050000,point-only
W10,10000,0.200000,full-copy
W10,10000,0.200000,point-only
W10,10000,1.000000,full-copy
W10,10000,1.000000,point-only
W11,10000,1.000000,full-copy
W11,10000,8.000000,full-copy
W11,10000,64.000000,full-copy
W11,10000,512.000000,full-copy
W11,10000,4096.000000,full-copy
W11,10000,4096.000000,point-only
W11,10000,10000.000000,full-copy
W11,10000,10000.000000,point-only
W12,10000,0.010000,full-copy
W12,10000,0.100000,full-copy
W12,10000,0.500000,full-copy
W12,10000,1.000000,full-copy
W2,1000,0.000000,full-copy
W2,10000,0.000000,full-copy
W2,10000,0.000000,point-only
W2,100000,0.000000,full-copy
W2,100000,0.000000,point-only
W2,1000000,0.000000,checkpointing
W2,1000000,0.000000,full-copy
W2,1000000,0.000000,point-only
W2,10000000,0.000000,checkpointing
W2,10000000,0.000000,full-copy
W2,10000000,0.000000,point-only
W3,10000,0.000000,full-copy
W3,100000,0.000000,full-copy
W3,100000,0.000000,point-only
W3,1000000,0.000000,full-copy
W3,1000000,0.000000,point-only
W3,10000000,0.000000,full-copy
W3,10000000,0.000000,point-only
W4,1000,0.000000,full-copy
W4,10000,0.000000,full-copy
W4,100000,0.000000,full-copy
W4,1000000,0.000000,full-copy
W4,10000000,0.000000,checkpointing
W4,10000000,0.000000,full-copy
W5,1000,0.000000,full-copy
W5,1000,0.000000,point-only
W5,10000,0.000000,full-copy
W5,10000,0.000000,point-only
W5,100000,0.000000,full-copy
W5,100000,0.000000,point-only
W5,1000000,0.000000,full-copy
W5,1000000,0.000000,point-only
W5,10000000,0.000000,checkpointing
W5,10000000,0.000000,full-copy
W5,10000000,0.000000,point-only
W6,10000,0.100000,full-copy
W6,10000,0.100000,point-only
W6,10000,0.500000,full-copy
W6,10000,0.500000,point-only
W7,10000,1.000000,checkpointing
W7,10000,1.000000,full-copy
W7,10000,1.000000,point-only
W8,10000,10000.000000,full-copy
W8,10000,100000.000000,full-copy
W8,10000,100000.000000,point-only
W8,10000,1000000.000000,full-copy
W8,10000,1000000.000000,point-only
W9,10000,0.000000,full-copy
W9,10000,0.500000,full-copy
W9,10000,0.990000,full-copy
