draw_id,seed,n,operations,update_share,interval_share,trials
WT01,20270214,100000,200000,0.500000,0.010000,20
WT02,20270215,100000,200000,0.500000,0.010000,20
WT03,20270216,100000,200000,0.500000,0.010000,20
WT04,20270217,100000,200000,0.500000,0.010000,20
WT05,20270218,100000,200000,0.500000,0.010000,20
WT06,20270219,100000,200000,0.500000,0.010000,20
WT07,20270220,100000,200000,0.500000,0.010000,20
WT08,20270221,100000,200000,0.500000,0.010000,20
WT09,20270222,100000,200000,0.500000,0.010000,20
WT10,20270223,100000,200000,0.500000,0.010000,20
WT11,20270224,100000,200000,0.500000,0.010000,20
WT12,20270225,100000,200000,0.500000,0.010000,20
